ticker,company,market_cap_eur,momentum_12_1,return_6m,return_3m,vol_60d_ann,beta_1y_vs_stoxx50,max_drawdown_1y,adv_60d_shares,adv_60d_eur,dividend_yield_ttm
SAN.PA,Sanofi,109839172642.71881,-0.007352408376053998,-0.02767531005697288,0.02941511656326412,0.298444982475966,,-0.2616825051244491,1935130.7833333334,173368359.79217276,0.0437548851460562
SU.PA,Schneider Electric,132632163052.07523,0.08480659683755909,0.08519456836282013,0.09324978223220048,0.2437987799887302,,-0.3133603087495661,849795.3666666667,200254272.9682607,0.016549968601795
SIE.DE,Siemens,177790377195.85876,0.3585040809434863,0.0850212095727445,-0.013490337886442716,0.2976798939696897,,-0.27325100368923616,843322.9,194259435.16223451,0.022574342792347064
ENR.DE,Siemens Energy,87906696176.0,1.278727659337704,0.3525092304471311,0.20422839393516368,0.38203613319140534,,-0.23647794751048412,2004483.95,221495476.475,
TEF.MC,Telefonica,24846730328.73657,0.10250363375522653,-0.16322751846009187,-0.23602867191926113,0.31302621934959884,,-0.26448315930323407,10595010.066666666,39540578.7610943,0.0803858496661022
TTE.PA,TotalEnergies,121351411227.87842,-0.026448406762275223,0.13936535640247527,0.058496150370026534,0.1875959027555378,,-0.20252847747038705,3893645.15,218939665.0021307,0.058331851799790196
UCG.MI,UniCredit,99283761048.23369,0.6358548878252166,0.1258949334999091,-0.0626544192648919,0.26099074254298377,,-0.2284731914583754,4964849.233333333,320133495.2320025,0.03725961344481935
DG.PA,Vinci,67284637639.5,0.26493820137027435,-0.061714491373916935,-0.0624441117026705,0.23193351841001783,,-0.12770060555145857,880898.0833333334,105267320.95833334,0.0397489539748954
VOW3.DE,Volkswagen,50479869249.30234,0.14210467421732664,0.04449201777657086,-0.03498017186644098,0.20398800901276704,,-0.2388561067184849,818748.7166666667,79959002.66801402,0.06512389680021674
WKL.AS,Wolters Kluwer,21469751221.82312,-0.2713212787075844,-0.4094610724736967,-0.19369685903393496,0.3302336890547745,,-0.4731544137396885,792475.0333333333,74841344.0827535,0.025730621952362333
ARGX.BR,argenx,48011447743.2262,0.28468215963031396,0.5153517776697663,0.3845880164972648,0.27108685232660035,,-0.29559361827737796,111303.23333333334,86794259.99465129,
